Tdh,chamber,trt,CO2L_mean,DIFFP_mean,CO2FLOW_mean,CO2CChamb_mean,DPCChamb_mean,TAIR_mean,AddTime_mean,LCO2slope_mean,CONDH2O_mean,TBox_mean,DoorCnt_mean,CO2C_mean,ROTR_RH_mean,AIRPRESS_mean,DewPntC_mean,ROTR_TA_mean,PAR_mean,WIND_mean,REFCO2_mean,RAIN_mean,Taref_al_mean,RHref_al_mean,Tchilled_SP_mean,Tchilled_mean,DPref_al_mean,Tair_SP_mean,RH_al_mean,DP_al_mean,Tsub_al_mean,RH_SP_mean,Tair_al_mean,kfactor_mean,ChVolume_mean,HWTC_mean,prevDateTime_mean,prevHWTC_mean,prevCWTC_mean,tcycle_mean,fCO2_mean,Href_mean,ICO2_mean,Dref_mean,Ain_mean,Aout_mean,v_mean,F_mean,deltaS_mean,Fwat_mean,Vwat_mean,deltaH2O_mean,FluxH2O_mean,FluxCO2_mean,d18O.corrected_WV,d18O.corrected_WV(AMB),d18O.corrected_Cond,leaftemp,Camp
24/10/2016 23:00,C01,ambient,458.025,88.675,177.6574936,461.175,8.075,10.175,20.52148706,1.0489765,0.001592284,17.05,0,452.075,156.095,102,8.425,9.965,0,0,448.25,0,9.856696486,88.5129385,4.164808869,4.049999952,8.168146491,9.859478593,85.74504185,7.915066898,10.357409,88.50059032,10.004915,0.76,52800,1052.697699,,1072.319324,458.25,900,2.960958227,1075.701252,0.00602598,1.251463555,6.810580405,6.809027902,0.140187533,0.13629092,0.007660714,0.003206372,0.003137064,-0.000503823,0.001019153,-0.005531348,-11.22132252,-11.96623444,,9.859,1
25/10/2016 0:00,C01,ambient,486.45,88.975,258.6425018,491.125,7.925,9.5,73.7424475,1.03395075,0.001809414,16.475,0,467.35,156.135,101.96,8.25,9.265,0,0,468.25,0,9.101887941,91.21500683,3.847419441,3.75000006,7.843603671,9.113527656,89.48522568,7.60069257,9.67338407,91.1675148,9.075154185,0.76,52800,1031.976811,,1031.085353,482.9,900,4.310708364,1053.900908,0.02017626,1.254416437,6.829590943,6.828108858,0.149710239,0.142767053,0.021541667,0.003151411,0.003085247,2.28E-05,0.001766044,-0.008308592,-10.26790397,-11.54712318,-1.968465952,9.065166667,1
25/10/2016 1:00,C01,ambient,513.35,89.95,177.0149994,516.725,7.225,8.475,16.72976506,1.06344325,0.001664661,15.8,0,499.35,156.22,101.9,8.075,8.33,0,0,499.375,0,8.057165504,93.36453819,3.071078539,3.462500066,7.070667982,8.064417064,90.88402367,6.679272056,8.816370368,93.32905769,7.992298603,0.76,52800,974.0732293,,992.2528498,512.6,900,2.95024999,1004.954308,0.004903335,1.258563792,6.877004254,6.874898247,0.158591608,0.153308837,0.010803571,0.003027752,0.002933734,-0.000467255,0.001103387,-0.011183007,-11.3568649,-11.10264503,,8.048683333,1
25/10/2016 2:00,C01,ambient,524.35,90.325,267.4399948,527.85,6.35,7.7,23.73876882,1.053261,0.001519907,14.975,0,513.75,156.29,101.9,7.95,7.525,0,0,509.95,0,7.392951548,94.15062046,2.442008913,2.387500018,6.442616224,7.384469807,90.41692543,5.771557808,7.961641133,94.1700983,7.317008018,0.76,52800,925.3523005,,932.9922789,524.625,900,4.457333247,968.5498907,0.007007183,1.261716075,6.899023123,6.896071792,0.162503384,0.157060188,0.008446429,0.002927441,0.002795685,-0.000196364,0.001191788,-0.006882441,-11.38480927,-10.79419669,,7.4177,1
25/10/2016 3:00,C01,ambient,536.375,90.5,178.4925003,537.225,5.775,7.175,5.340996444,1.05739025,0.001737037,14.325,0,523.75,156.325,101.9,7.3,7.05,0,0.225,522.875,0,6.743668914,94.67505741,1.742625505,1.725000024,5.74457705,6.731289685,89.97798443,5.033034265,7.630925298,94.67765713,6.805807292,0.76,52800,889.1707736,,901.6525963,534.6,900,2.974875005,931.6430658,0.001577029,1.264819171,6.913239475,6.910332872,0.165733195,0.161375075,0.006875,0.002821636,0.002691877,-0.00032081,0.001286468,-0.009656091,-10.94852834,-10.6701404,,6.942783333,1
25/10/2016 4:00,C01,ambient,537.45,90.75,90.11250305,537.55,5.025,6.55,2.075997055,1.05969625,0.001809414,13.775,0,517,156.375,101.9,6.875,6.395,0,0,514.925,0,6.168160737,95.09653664,1.205029652,1.225000024,5.061303735,6.170125067,89.58144855,3.989386052,6.888198912,95.05527782,6.144321322,0.76,52800,846.0905195,,860.302502,538.125,900,1.501875051,899.5296248,0.000618629,1.267579197,6.929503507,6.925839125,0.166204876,0.159295862,-0.001505952,0.002730749,0.00256716,-0.000365278,0.001280547,-0.004784433,-12.24501669,-10.63781391,,6.223483333,1
25/10/2016 5:00,C01,ambient,531.625,91.25,74.28500366,529.05,4.575,6.275,29.23102486,1.0523955,0.001954167,13.15,0,499.65,156.38,101.93,6.625,6.205,44.05,0,503.775,0,5.847465694,95.66719532,1.065670773,1.012500018,4.742334247,5.845174193,87.81657887,3.517311454,6.614928067,95.59186649,6.086535275,0.76,52800,825.9174189,,816.5780154,533.45,900,1.238083394,884.9895099,0.007180644,1.269479507,6.95338693,6.949324776,0.164130219,0.156381815,-0.01152381,0.0026951,0.002513754,0.000239984,0.002012804,0.010956049,-11.7549706,-11.19898013,-2.666994643,6.6796,1
25/10/2016 6:00,C01,ambient,490.075,87.85,267.0649948,487.025,8.2,8.775,334.0919403,1.054681,0.016718982,14.075,0,482.625,156.175,101.99,7.825,8.635,106.2,0,483.8,0,8.265807807,96.10227585,3.716592669,3.874999985,7.735108137,8.237422168,91.10871124,7.953445494,9.213443398,96.06244755,9.186413288,0.76,52800,1060.545843,,988.1142296,497.3,900,4.451083247,1051.378118,0.098206768,1.258546622,6.797216326,6.797834045,0.147828921,0.146818971,-0.026910714,0.003126174,0.003153751,0.001860083,0.018606642,0.124107532,-10.09991788,-11.22132252,,12.01833333,1
25/10/2016 7:00,C01,ambient,463.475,88.6,351.1699982,458.55,10.7,12.6,526.6122398,1.046276,0.021857716,18.95,0,452.675,111.915,102,9.325,12.53,547.65,0.03,454.425,0,12.14119303,86.28251171,6.033970416,6.337500036,10.04638982,12.13430429,89.44294453,10.4002732,12.99777102,86.3214817,11.82879746,0.76,52800,1239.596681,,1212.492071,467.65,900,5.852833303,1218.378346,0.152882997,1.240784395,6.782020791,6.783454531,0.138848837,0.137573724,-0.023833333,0.003616526,0.003680532,0.000695963,0.022617686,0.175441216,-9.03332649,-11.29888212,,14.95083333,1
25/10/2016 8:00,C01,ambient,435.1,92.1,342.4775009,434.225,10.725,16.025,628.0905399,1.0409075,0.019396914,27.075,0,433.325,70.57,102,10,15.845,1164.45,0.21,434.2,0,15.52335572,72.97703552,6.796055377,6.737500131,10.80196655,15.5063417,75.03408146,10.91142035,16.30839968,73.10886574,15.09629953,0.76,52800,1284.427629,,1269.181061,437.45,900,5.707958349,1283.789474,0.177463295,1.225941604,6.874984348,6.875030859,0.133271221,0.133262956,-0.008446429,0.003862929,0.003865005,0.000391485,0.019790475,0.185901459,-10.46122053,-10.33521391,,18.38816667,1
